--------- beginning of system
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:     "domains": {
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:         "com.huawei.smarthome": {
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:             "policy_version": 6,
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:             "apk_digest": {
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:                 "digest": "8kAADpcRny0My5sa9TarBImvXnGs4epGshhmrbOt2Js=",
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:                 "signature_scheme": "v2"
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:             },
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:             "rules": [],
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:             "labels": [
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:                 "NORMAL"
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:             ]
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:         },
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:         "com.ximalaya.ting.android": {
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:             "policy_version": 2,
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:             "apk_digest": {
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:                 "digest": "ltEwA2NUWdvMg5xpCVbO2OYvn5VUqmcGgsUQtvGID08=",
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:                 "signature_scheme": "v2"
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:             },
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:             "rules": [],
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:             "labels": [
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:                 "NORMAL"
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:             ]
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:         },
